old_name,new_name_1,new_name_2,new_name_3,new_name_4,new_name_5
1A,A58,F60,F61,F62,
1B,A58,F60,F61,F62,
1C,F60,F61,F62,,
2A,F50,,,,
2B,F50,F60,F61,,
3F,A58,,,,
3Y,A58,,,,
4B,F62,,,,
7A,A27,,,,
7M,A90,,,,
8W,A25,,,,
10A,A11,,,,
10B,A12,,,,
11Y,F19,,,,
16A,F44,A40,,,
16C,A49,A66,F44,A40,
16E,A40,A49,F44,A66,
16M,A40,,,,
16Y,A49,,,,
17B,F28,F29,,,
17G,F29,F28,,,
17K,F28,F29,,,
17M,F29,,,,
18G,F83,,,,
18J,F81,,,,
18P,F81,,,,
21C,A28,,,,
22A,A71,A66,,,
22F,A25,A66,F20,,
23A,A70,A11,,,
23B,A70,A12,A11,,
23T,A70,A12,,,
25B,A76,,,,
26A,F26,F44,F20,,
28A,F20,,,,
28F,A27,A40,,,
29G,F85,F44,,,
29K,F23,F24,,,
29N,F24,F23,,,
31,D82,,,,
32,D10,,,,
33,D80,,,,
36,D1X,,,,
38B,A58,,,,
42,D72,D74,D70,,
43,D72,D74,,,
52,D50,,,,
54,D5X,,,,
59,D5X,,,,
60,D44,,,,
62,C75,,,,
63,C75,D44,,,
64,D44,,,,
70,D40,,,,
74,D40,C55,,,
79,D4X,,,,
80,D30,,,,
83,P10,P1X,M44,,
86,P10,P1X,,,
89M,P12,,,,
90,C51,C53,,,
92,C53,C51,,,
96,C51,,,,
A2,C13,C15,C17,C11,
A4,C11,C17,C27,,
A6,C13,C15,C11,C17,
A7,,,,,
A8,C11,C17,C13,C15,
A12,P60,P61,,,
A31,C31,,,,
A33,,,,,
B2,C41,,,,
B21,P71,,,,
B22,P71,,,,
B24,P23,P71,,,
B27,P24,P20,,,
C2,M12,P31,P32,,
C4,M12,,,,
C8,M42,M44,,,
C11,P85,,,,
C12,P83,,,,
C13,P85,,,,
C14,P83,,,,
C21,P73,P63,P55,,
C22,P73,P63,P55,,
C26,P72,,,,
C29,P73,P72,P63,P55,
D2,D96,,,,
D4,D36,C71,,,
D6,D24,D94,,,
D8,D36,C71,,,
D12,P94,P96,P93,P95,P90
D14,P87,P96,P97,,
D31,C87,,,,
D33,,,,,
D34,,,,,
D51,,,,,
E2,C71,,,,
E4,C81,,,,
F1,P42,P43,P33,,
F4,P30,,,,
F6,P31,P32,P35,,
F8,P43,P32,P22,P10,
F12,P44,,,,
F13,P22,P23,,,
F14,P63,P61,P60,,
G2,C91,,,,
G8,D32,D34,,,
G12,P21,P20,,,
G14,P20,P24,P21,,
H12,P86,P96,,,
H2,C61,,,,
H4,C61,D72,,,
H6,C63,,,,
H8,D74,,,,
H9,,,,,
J1,M70,,,,
J2,M70,,,,
J12,P63,P61,P76,P66,
K2,C77,,,,
K6,M60,M6X,,,
K9,M6X,M60,,,
K12,P66,P62,P64,P76,
L2,D70,D72,,,
L8,M22,,,,
L12,P41,P52,,,
M4,C81,C83,,,
M6,C37,C23,,,
Metroway,A1X,,,,
N2,D90,D96,,,
N4,D90,D96,,,
N6,D90,D96,,,
NH1,P93,P94,P88,P90,
NH2,P94,P90,,,
P6,D34,D30,,,
P12,P60,P93,,,
P18,P97,,,,
Q2,M10,M20,,,
Q4,M10,M20,,,
Q6,M10,,,,
R1,P15,P16,,,
R2,P15,P16,,,
R4,P33,,,,
R12,P14,,,,
REX,F1X,,,,
S2,D60,D6X,,,
S9,D6X,D60,,,
S35,,,,,
T2,M82,,,,
T14,P42,P40,,,
T18,P40,,,,
U4,C33,,,,
U5,C37,,,,
U6,C22,C35,,,
U7,C35,,,,
V2,C31,,,,
V4,C31,,,,
V7,C21,C23,,,
V8,C21,C23,,,
V12,P61,P62,,,
V14,P62,,,,
W1,C27,,,,
W2,C29,C27,,,
W3,C29,C27,,,
W4,C21,C23,,,
W5,C21,,,,
W6,C25,C26,C23,C29,
W8,C25,C26,C23,C29,
W14,P95,,,,
W45,,,,,
X2,D20,C57,,,
X8,C43,,,,
X9,D2X,C57,,,
Y2,M22,M20,,,
Y7,M22,M20,,,
Y8,M22,M20,,,
Z2,M52,,,,
Z6,M52,M54,,,
Z7,M52,,,,
Z8,M52,M54,P11,,
11,P21,,,,
13A,P32,P10,P43,,
14,P30,P35,P31,,
15X,P20,P24,,,
16,P22,P20,P14,,
17,P10,P11,P1X,,
18,P43,P22,,,
19,P32,P10,P43,,
20,P76,P60,,,
21,P53,P5X,P61,P52,
21X,P5X,P53,,,
23,P54,P55,,,
24,P65,P64,,,
26,P56,,,,
28,P57,P41,P52,,
30,P85,,,,
32,P86,P96,,,
33,P88,,,,
34,P83,,,,
35,P87,P94,P95,C11,P90
36,P84,,,,
37,P95,P96,P88,,
51X,P78,,,,
53,P77,,,,
