pre_corridor_id,post_corridor_id,metric,pre_value,post_value
11 St / New Hampshire,11 St / New Hampshire,Mean Service Span (Minutes),1166.875,1154.676923076923
14th St,14th St,Mean Service Span (Minutes),1523.3172413793104,1528.8923076923077
16th St,16th St,Mean Service Span (Minutes),1518.2689655172414,1508.0
18th St NE,18th St NE,Mean Service Span (Minutes),1228.6875,1127.9846153846154
5th St NW,5th St NW,Mean Service Span (Minutes),1147.7916666666667,1154.676923076923
Alabama Ave,Alabama Ave,Mean Service Span (Minutes),1463.2689655172414,1506.0
Bladensburg,Bladensburg,Mean Service Span (Minutes),1497.3655172413794,1525.0
Connecticut Ave,Connecticut Ave,Mean Service Span (Minutes),1314.7379310344827,1281.123076923077
Foggy Bottom / Mt Pleasant / Brookland,Foggy Bottom / Mt Pleasant / Brookland,Mean Service Span (Minutes),1508.3310344827587,1271.7076923076922
Georgetown / LeDroit Park,Georgetown / LeDroit Park,Mean Service Span (Minutes),1123.6875,1124.4923076923078
Georgia Ave,Georgia Ave,Mean Service Span (Minutes),1517.6275862068965,1523.0
H St / Benning Rd / D St,H St / Benning Rd / D St,Mean Service Span (Minutes),1456.7448275862068,1514.0
Irving / Michigan,Irving / Michigan,Mean Service Span (Minutes),1469.4827586206898,1490.8153846153846
K St / Ivy City,K St / Ivy City,Mean Service Span (Minutes),1228.6875,1250.123076923077
Kansas / Eastern,Kansas / Eastern,Mean Service Span (Minutes),798.0,798.0
MLK Ave / 4 St SE,MLK Ave / 4 St SE,Mean Service Span (Minutes),1486.3793103448277,1470.8
MLK Ave / Bellevue,MLK Ave / Bellevue,Mean Service Span (Minutes),1486.3793103448277,1494.0
MacArthur Blvd,MacArthur Blvd,Mean Service Span (Minutes),1244.875,1175.5692307692307
Maryland Ave,Maryland Ave,Mean Service Span (Minutes),994.4791666666666,994.0923076923077
Massachusetts Ave,Massachusetts Ave,Mean Service Span (Minutes),1131.8125,1174.9538461538461
Minnesota Ave / Eastern,Minnesota Ave / Eastern,Mean Service Span (Minutes),1467.6413793103447,1509.0
Minnesota Ave / Pennsylvania Ave,Minnesota Ave / Pennsylvania Ave,Mean Service Span (Minutes),1320.9791666666667,1331.446153846154
N Capitol St,N Capitol St,Mean Service Span (Minutes),1508.4344827586208,1506.8461538461538
Naylor Rd - Shepherd Pkwy,Naylor Rd - Shepherd Pkwy,Mean Service Span (Minutes),1282.4827586206898,1184.6461538461538
Pennsylvania Ave,Pennsylvania Ave,Mean Service Span (Minutes),1460.8,1553.4307692307693
Rhode Island Ave / NE,Rhode Island Ave / NE,Mean Service Span (Minutes),1310.193103448276,1176.9384615384615
Skyland / Barry Farm,Skyland / Barry Farm,Mean Service Span (Minutes),1123.5208333333333,1097.0923076923077
