pre_route_id,post_route_id,metric,pre_value,post_value,corridor
31,D82,Mean Headway (Minutes),32.095238095238095,33.575,Wisconsin Ave
32,D10,Mean Headway (Minutes),17.322360923057676,17.274725274725277,Pennsylvania Ave
33,D80,Mean Headway (Minutes),8.58959137575465,8.587112190967614,Wisconsin Ave
36,D1X,Mean Headway (Minutes),19.84680110648901,19.990977488864814,Pennsylvania Ave
42,D70,Mean Headway (Minutes),22.801736417141623,16.47488919531173,Connecticut Ave
42,D72,Mean Headway (Minutes),22.801736417141623,9.731737137035152,Foggy Bottom / Mt Pleasant / Brookland
42,D74,Mean Headway (Minutes),22.801736417141623,17.020920741500543,Foggy Bottom / Mt Pleasant / Brookland
43,D72,Mean Headway (Minutes),22.211363889607775,9.731737137035152,Foggy Bottom / Mt Pleasant / Brookland
43,D74,Mean Headway (Minutes),22.211363889607775,17.020920741500543,Foggy Bottom / Mt Pleasant / Brookland
52,D50,Mean Headway (Minutes),12.378063731227014,12.560751317647869,14th St
54,D5X,Mean Headway (Minutes),12.277785411124148,10.059411180102007,14th St
59,D5X,Mean Headway (Minutes),39.32167312927976,10.059411180102007,14th St
60,D44,Mean Headway (Minutes),35.53846153846154,16.231880479071492,11 St / New Hampshire
62,C75,Mean Headway (Minutes),29.643678160919542,17.274725274725277,5th St NW
63,C75,Mean Headway (Minutes),33.45621516164995,17.274725274725277,5th St NW
63,D44,Mean Headway (Minutes),33.45621516164995,16.231880479071492,11 St / New Hampshire
64,D44,Mean Headway (Minutes),19.387222222222224,16.231880479071492,11 St / New Hampshire
70,D40,Mean Headway (Minutes),12.098977628954117,12.078863720012045,Georgia Ave
74,C55,Mean Headway (Minutes),31.33455661689358,16.003600654664485,
74,D40,Mean Headway (Minutes),31.33455661689358,12.078863720012045,Georgia Ave
79,D4X,Mean Headway (Minutes),10.400000000000002,11.037077706009002,Georgia Ave
80,D30,Mean Headway (Minutes),12.01925946299034,14.96617746288799,N Capitol St
90,C51,Mean Headway (Minutes),16.22557398156191,19.994285714285713,U St
90,C53,Mean Headway (Minutes),16.22557398156191,9.736118750467382,U St
92,C51,Mean Headway (Minutes),12.5316091954023,19.994285714285713,U St
92,C53,Mean Headway (Minutes),12.5316091954023,9.736118750467382,U St
96,C51,Mean Headway (Minutes),23.570317243472985,19.994285714285713,U St
A2,C11,Mean Headway (Minutes),14.736329661447042,19.959696641386785,MLK Ave / Bellevue
A2,C13,Mean Headway (Minutes),14.736329661447042,12.00052151238592,MLK Ave / 4 St SE
A2,C15,Mean Headway (Minutes),14.736329661447042,17.716129636317433,MLK Ave / 4 St SE
