Route,Corridor
C11,MLK Ave / Bellevue
C13,MLK Ave / 4 St SE
C15,MLK Ave / 4 St SE
C17,MLK Ave / Bellevue
C21,Alabama Ave
C23,Alabama Ave
C25,Skyland / Barry Farm
C26,Skyland / Barry Farm
C27,Naylor Rd - Shepherd Pkwy
C29,Southern Av / Anacostia
C31,Minnesota Ave / Eastern
C33,Minnesota Ave / Eastern
C35,Minnesota Ave / Eastern
C37,Minnesota Ave / Pennsylvania Ave
C41,Bladensburg
C43,Maryland Ave
C51,U St
C53,U St
C61,Irving / Michigan
C63,Irving / Michigan
C71,18th St NE
C75,5th St NW
C77,Kansas / Eastern
C81,Upper NW
C83,Upper NW
C85,Upper NW
C87,Upper NW
C91,Georgetown / LeDroit Park
D10,Pennsylvania Ave
D1X,Pennsylvania Ave
D20,H St / Benning Rd / D St
D24,H St / Benning Rd / D St
D2X,H St / Benning Rd / D St
D30,N Capitol St
D32,Rhode Island Ave / NE
D34,Rhode Island Ave / NE
D36,K St / Ivy City
D40,Georgia Ave
D4X,Georgia Ave
D44,11 St / New Hampshire
D50,14th St
D5X,14th St
D60,16th St
D6X,16th St
D70,Connecticut Ave
D72,Foggy Bottom / Mt Pleasant / Brookland
D74,Foggy Bottom / Mt Pleasant / Brookland
D80,Wisconsin Ave
D82,Wisconsin Ave
D90,Massachusetts Ave
D94,MacArthur Blvd
D96,Massachusetts Ave
